animal_id,outcome_age_(years),has_name,is_adopted,sex_male,spay_neuter,cfa_approved,season_Fall,season_Spring,season_Summer,season_Winter,is_weekend,time_of_day_Afternoon,time_of_day_Closed,time_of_day_Morning,is_shorthair,is_solid_pattern,color_black,color_other,color_white
A626164,1.0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
A669753,1.0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
A687770,0.1643835616438356,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
A688206,3.0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
A667359,8.0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
A686388,0.4931506849315068,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0
A684824,0.0821917808219178,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
A686978,0.410958904109589,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
A680663,0.1643835616438356,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
A681042,0.0383561643835616,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0
A680414,0.1643835616438356,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
A683224,0.0821917808219178,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
A677631,0.0383561643835616,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0
A677077,0.1643835616438356,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
A682239,0.1643835616438356,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0
A693905,0.4931506849315068,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
A680819,0.1643835616438356,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0
A692219,2.0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
A688479,0.3287671232876712,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
A688741,0.0821917808219178,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0
A664514,0.2465753424657534,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0
A671065,1.0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
